symbol,date,price
1ft,Jan-00,13.9
1ft,Feb-00,13.8
1ft,Mar-00,13.7
1ft,Apr-00,13.8
1ft,May-00,13.9
1ft,Jun-00,13.8
1ft,Jul-00,13.7
1ft,Aug-00,13.8
1ft,Sep-00,13.9
1ft,Oct-00,13.8
1ft,Nov-00,13.7
1ft,Dec-00,13.8
1ft,Jan-01,13.77272727
1ft,Feb-01,13.76853147
1ft,Mar-01,13.76433566
1ft,Apr-01,13.76013986
1ft,May-01,13.75594406
1ft,Jun-01,13.75174825
1ft,Jul-01,13.74755245
1ft,Aug-01,13.74335664
1ft,Sep-01,13.73916084
1ft,Oct-01,13.73496503
1ft,Nov-01,13.73076923
1ft,Dec-01,13.72657343
1ft,Jan-02,13.72237762
1ft,Feb-02,13.71818182
1ft,Mar-02,13.71398601
1ft,Apr-02,13.70979021
1ft,May-02,13.70559441
1ft,Jun-02,13.7013986
1ft,Jul-02,13.6972028
1ft,Aug-02,13.69300699
1ft,Sep-02,13.68881119
1ft,Oct-02,13.68461538
1ft,Nov-02,13.68041958
1ft,Dec-02,13.67622378
1ft,Jan-03,13.67202797
1ft,Feb-03,13.66783217
1ft,Mar-03,13.66363636
1ft,Apr-03,13.65944056
1ft,May-03,13.65524476
1ft,Jun-03,13.65104895
1ft,Jul-03,13.64685315
1ft,Aug-03,13.64265734
1ft,Sep-03,13.63846154
1ft,Oct-03,13.63426573
1ft,Nov-03,13.63006993
1ft,Dec-03,13.62587413
1ft,Jan-04,13.62167832
1ft,Feb-04,13.61748252
1ft,Mar-04,13.61328671
1ft,Apr-04,13.60909091
1ft,May-04,13.6048951
1ft,Jun-04,13.6006993
1ft,Jul-04,13.5965035
1ft,Aug-04,13.59230769
1ft,Sep-04,13.58811189
1ft,Oct-04,13.58391608
1ft,Nov-04,13.57972028
1ft,Dec-04,13.57552448
1ft,Jan-05,13.57132867
1ft,Feb-05,13.56713287
1ft,Mar-05,13.56293706
1ft,Apr-05,13.55874126
1ft,May-05,13.55454545
1ft,Jun-05,13.55034965
1ft,Jul-05,13.54615385
1ft,Aug-05,13.54195804
1ft,Sep-05,13.53776224
1ft,Oct-05,13.53356643
1ft,Nov-05,13.52937063
1ft,Dec-05,13.52517483
1ft,Jan-06,13.52097902
1ft,Feb-06,13.51678322
1ft,Mar-06,13.51258741
1ft,Apr-06,13.50839161
1ft,May-06,13.5041958
1ft,Jun-06,13.5
1ft,Jul-06,13.4958042
1ft,Aug-06,13.49160839
1ft,Sep-06,13.48741259
1ft,Oct-06,13.48321678
1ft,Nov-06,13.47902098
1ft,Dec-06,13.47482517
1ft,Jan-07,13.47062937
1ft,Feb-07,13.46643357
1ft,Mar-07,13.46223776
1ft,Apr-07,13.45804196
1ft,May-07,13.45384615
1ft,Jun-07,13.44965035
1ft,Jul-07,13.44545455
1ft,Aug-07,13.44125874
1ft,Sep-07,13.43706294
1ft,Oct-07,13.43286713
1ft,Nov-07,13.42867133
1ft,Dec-07,13.42447552
1ft,Jan-08,13.42027972
1ft,Feb-08,13.41608392
1ft,Mar-08,13.41188811
1ft,Apr-08,13.40769231
1ft,May-08,13.4034965
1ft,Jun-08,13.3993007
1ft,Jul-08,13.3951049
1ft,Aug-08,13.39090909
1ft,Sep-08,13.38671329
1ft,Oct-08,13.38251748
1ft,Nov-08,13.37832168
1ft,Dec-08,13.37412587
1ft,Jan-09,13.36993007
1ft,Feb-09,13.36573427
1ft,Mar-09,13.36153846
1ft,Apr-09,13.35734266
1ft,May-09,13.35314685
1ft,Jun-09,13.34895105
1ft,Jul-09,13.34475524
1ft,Aug-09,13.34055944
1ft,Sep-09,13.33636364
1ft,Oct-09,13.33216783
1ft,Nov-09,13.32797203
1ft,Dec-09,13.32377622
1ft,Jan-10,13.31958042
1ft,Feb-10,13.31538462
1ft,Mar-10,13.31118881
MSFT,Jan-00,13.30699301
MSFT,Feb-00,13.3027972
MSFT,Mar-00,13.2986014
MSFT,Apr-00,13.29440559
MSFT,May-00,13.29020979
MSFT,Jun-00,13.28601399
MSFT,Jul-00,13.28181818
MSFT,Aug-00,13.27762238
MSFT,Sep-00,13.27342657
MSFT,Oct-00,13.26923077
MSFT,Nov-00,13.26503497
MSFT,Dec-00,13.26083916
MSFT,Jan-01,13.25664336
MSFT,Feb-01,13.25244755
MSFT,Mar-01,13.24825175
MSFT,Apr-01,13.24405594
MSFT,May-01,13.23986014
MSFT,Jun-01,13.23566434
MSFT,Jul-01,13.23146853
